node_id,commodity_id,price_per_ton,price_std_fraction,correlation_group,cross_correlation
Hama,Lentils,666.67,0.30,Hama,0.05
Hama,Chickpeas,1163.12,0.30,Hama,0.05
Hama,Rice,885.11,0.30,Hama,0.05
Hama,Sugar,448.23,0.30,Hama,0.05
Hama,Oil,1072.34,0.30,Hama,0.05
Hama,Wheat flour,468.09,0.30,Hama,0.05
Hassakeh,Beans,1127.66,0.30,Hassakeh,0.05
Hassakeh,Bulgur,574.47,0.30,Hassakeh,0.05
Hassakeh,Cheese,2000.00,0.30,Hassakeh,0.05
Hassakeh,Fish,3488.59,0.30,Hassakeh,0.05
Hassakeh,Meat,4574.47,0.30,Hassakeh,0.05
Hassakeh,Dates,1304.96,0.30,Hassakeh,0.05
Hassakeh,Milk,496.45,0.30,Hassakeh,0.05
Hassakeh,Salt,170.21,0.30,Hassakeh,0.05
Hassakeh,Lentils,638.30,0.30,Hassakeh,0.05
Hassakeh,Chickpeas,829.79,0.30,Hassakeh,0.05
Hassakeh,Rice,1014.18,0.30,Hassakeh,0.05
Hassakeh,Sugar,617.02,0.30,Hassakeh,0.05
Hassakeh,Oil,978.72,0.30,Hassakeh,0.05
Hassakeh,Wheat flour,425.53,0.30,Hassakeh,0.05
Dara,Beans,425.53,0.30,Dara,0.05
Dara,Bulgur,489.36,0.30,Dara,0.05
Dara,Cheese,1659.57,0.30,Dara,0.05
Dara,Fish,4111.56,0.30,Dara,0.05
Dara,Meat,4760.64,0.30,Dara,0.05
Dara,Dates,1574.47,0.30,Dara,0.05
Dara,Milk,340.43,0.30,Dara,0.05
Dara,Salt,255.32,0.30,Dara,0.05
Dara,Lentils,723.40,0.30,Dara,0.05
Dara,Chickpeas,893.62,0.30,Dara,0.05
Dara,Rice,936.17,0.30,Dara,0.05
Dara,Sugar,494.68,0.30,Dara,0.05
Dara,Oil,1106.38,0.30,Dara,0.05
Dara,Wheat flour,510.64,0.30,Dara,0.05
Dayr_Az_Zor,Beans,1184.40,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Bulgur,609.93,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Cheese,1929.08,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Fish,4447.00,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Meat,4336.88,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Dates,1645.39,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Milk,351.06,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Salt,170.21,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Lentils,978.72,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Chickpeas,943.26,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Rice,822.70,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Sugar,531.91,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Oil,1134.75,0.30,Dayr_Az_Zor,0.05
Dayr_Az_Zor,Wheat flour,592.20,0.30,Dayr_Az_Zor,0.05
